                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6111,                 4.0719,                 1.4812,                0.01036,                0.18967,                0.14515,                0.09406,                0.81963,                 3.9686,                0.95494,                0.00011,                0.00011,                0.00011
                      2,                 1.4787,                 2.6767,                 1.3219,                0.99226,                0.15493,                0.23441,                0.18095,                0.98188,                 3.3132,                0.95836,             0.00022772,             0.00022772,             0.00022772
                      3,                 1.3672,                 1.5678,                   1.26,                0.99951,                0.16667,                0.29989,                0.22235,                0.94073,                 3.1018,                0.99405,             0.00034307,             0.00034307,             0.00034307
                      4,                 1.2956,                 1.1758,                 1.2224,                0.99567,                0.10094,                0.39919,                0.31517,                0.83769,                 2.9376,                 0.9442,             0.00045604,             0.00045604,             0.00045604
                      5,                 1.2619,                 1.0472,                 1.2032,                0.95618,                0.16667,                0.63187,                0.47709,                0.83919,                 2.6933,                0.94392,             0.00056664,             0.00056664,             0.00056664
                      6,                 1.2033,                0.96209,                 1.1741,                0.93533,                0.23372,                0.88843,                0.67814,                0.82525,                 2.3042,                0.94842,             0.00067486,             0.00067486,             0.00067486
                      7,                 1.1962,                0.91725,                 1.1746,                0.93624,                0.28957,                0.92041,                0.66231,                0.86361,                 2.0465,                0.95272,              0.0007807,              0.0007807,              0.0007807
                      8,                 1.1659,                0.88867,                 1.1587,                 0.8718,                0.56481,                0.88683,                0.63756,                 0.9396,                 1.7487,                0.99002,             0.00088417,             0.00088417,             0.00088417
                      9,                 1.1506,                0.84539,                 1.1342,                0.90501,                0.68606,                0.87707,                0.67079,                0.85171,                 1.3238,                0.93524,              0.0009208,              0.0009208,              0.0009208
                     10,                   1.15,                0.81367,                 1.1345,                0.81672,                0.77843,                0.88424,                0.62846,                0.94873,                0.90951,                0.97554,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.1741,                0.80122,                 1.1432,                0.95077,                0.88416,                 0.9516,                0.67699,                0.81281,                0.75493,                 0.9286,               0.000901,               0.000901,               0.000901
                     12,                 1.1292,                0.76601,                 1.1286,                0.88855,                 0.8148,                0.90817,                 0.6718,                 0.8348,                0.65776,                 0.9295,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.1123,                0.73655,                 1.1134,                0.95556,                0.90658,                0.97681,                0.72874,                0.70806,                0.66465,                0.89129,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.1054,                0.72208,                 1.1229,                0.85783,                0.89088,                0.94669,                0.70475,                0.77368,                0.61397,                0.90803,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.0777,                0.69214,                 1.1049,                0.83009,                0.93464,                0.96987,                0.74521,                0.71514,                0.60259,                0.89669,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.0759,                 0.6872,                 1.1081,                0.95322,                0.92968,                0.96471,                0.72623,                0.72048,                0.50462,                0.89991,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.0471,                0.65599,                 1.0971,                0.96627,                0.93595,                0.97986,                0.76801,                0.72769,                0.52326,                 0.8923,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.0775,                0.65603,                 1.0913,                 0.9424,                0.94819,                0.97628,                0.74866,                0.72999,                0.50758,                0.90317,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.0723,                0.64364,                 1.1009,                0.91097,                0.93878,                 0.9573,                 0.7696,                0.67312,                0.46822,                0.87874,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.0451,                0.63792,                 1.0966,                0.96129,                0.93403,                0.97431,                0.72479,                0.79264,                0.50301,                0.92175,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.0434,                0.62688,                 1.0853,                0.94296,                0.96099,                0.97498,                0.74755,                0.70863,                0.44832,                0.89622,               0.000802,               0.000802,               0.000802
                     22,                 1.0248,                0.60903,                 1.0618,                0.93589,                 0.9407,                0.97186,                 0.7792,                0.67475,                0.46892,                0.88461,              0.0007921,              0.0007921,              0.0007921
                     23,                 1.0056,                0.58979,                  1.071,                0.95405,                0.92317,                0.97004,                0.72414,                0.80443,                 0.4935,                0.93093,              0.0007822,              0.0007822,              0.0007822
                     24,                 1.0099,                0.59256,                 1.0722,                0.90441,                0.92037,                0.96368,                0.71601,                0.77709,                0.48755,                0.91998,              0.0007723,              0.0007723,              0.0007723
                     25,                 1.0059,                0.59133,                 1.0761,                0.89111,                0.96005,                 0.9715,                0.74692,                0.71784,                0.46917,                0.89698,              0.0007624,              0.0007624,              0.0007624
                     26,                0.98219,                0.56873,                 1.0575,                0.95454,                 0.9685,                0.98309,                 0.7773,                0.74276,                0.43095,                0.89426,              0.0007525,              0.0007525,              0.0007525
                     27,                0.99372,                0.56349,                  1.061,                0.98628,                0.95796,                0.98174,                0.76448,                0.65179,                0.39665,                 0.8723,              0.0007426,              0.0007426,              0.0007426
                     28,                0.99629,                0.56141,                 1.0553,                0.91035,                0.94773,                0.98213,                0.78575,                0.66753,                0.40827,                0.87682,              0.0007327,              0.0007327,              0.0007327
                     29,                 1.0028,                0.56127,                 1.0616,                0.96169,                0.93976,                0.96966,                0.78533,                0.69026,                0.42472,                0.88166,              0.0007228,              0.0007228,              0.0007228
                     30,                0.99984,                0.56515,                 1.0565,                0.96532,                0.95308,                0.97592,                  0.764,                0.69489,                0.43108,                 0.8829,              0.0007129,              0.0007129,              0.0007129
                     31,                0.95466,                0.54277,                 1.0402,                0.95513,                0.92283,                0.97127,                0.78144,                0.61153,                 0.3909,                0.85796,               0.000703,               0.000703,               0.000703
                     32,                0.97478,                0.54686,                 1.0453,                0.98023,                0.94201,                0.97821,                0.77213,                0.66425,                0.38955,                0.87417,              0.0006931,              0.0006931,              0.0006931
                     33,                0.92887,                0.52993,                 1.0251,                0.97871,                0.94148,                0.98186,                0.78908,                0.63142,                0.37596,                0.86483,              0.0006832,              0.0006832,              0.0006832
                     34,                0.95024,                0.52974,                 1.0412,                0.98057,                0.94317,                0.97783,                0.78268,                0.64281,                0.39675,                0.86264,              0.0006733,              0.0006733,              0.0006733
                     35,                0.93568,                0.51619,                 1.0361,                0.95403,                0.94467,                0.97334,                0.80313,                0.62116,                0.37491,                0.86053,              0.0006634,              0.0006634,              0.0006634
                     36,                0.94077,                0.52419,                 1.0286,                0.97892,                0.93402,                0.97819,                0.74866,                0.73033,                0.39766,                0.89678,              0.0006535,              0.0006535,              0.0006535
                     37,                0.91129,                0.50475,                 1.0253,                0.97558,                0.94217,                0.97596,                 0.7819,                0.64731,                 0.3697,                0.86689,              0.0006436,              0.0006436,              0.0006436
                     38,                0.94227,                0.51506,                 1.0292,                0.94118,                0.96827,                0.98325,                0.81813,                 0.6112,                0.36596,                0.85618,              0.0006337,              0.0006337,              0.0006337
                     39,                0.91851,                 0.5021,                 1.0228,                 0.9449,                0.97956,                0.98869,                0.78511,                0.63474,                0.38444,                0.86108,              0.0006238,              0.0006238,              0.0006238
                     40,                0.89517,                0.49331,                 1.0166,                0.93846,                0.98185,                 0.9888,                0.77255,                0.63206,                0.37276,                0.86716,              0.0006139,              0.0006139,              0.0006139
                     41,                0.90937,                 0.5003,                 1.0132,                 0.9798,                0.93978,                0.97879,                0.77943,                0.63145,                0.37616,                0.86762,               0.000604,               0.000604,               0.000604
                     42,                0.89642,                0.49219,                 1.0247,                0.97527,                0.96134,                0.97898,                0.81212,                0.59072,                 0.3611,                0.85307,              0.0005941,              0.0005941,              0.0005941
                     43,                0.88052,                0.47998,                 1.0132,                0.96785,                0.94177,                0.97263,                 0.8116,                0.62183,                0.36179,                0.86071,              0.0005842,              0.0005842,              0.0005842
                     44,                 0.8869,                 0.4842,                 1.0128,                0.96913,                0.94464,                0.98449,                0.79213,                0.60954,                0.36273,                0.86033,              0.0005743,              0.0005743,              0.0005743
                     45,                0.91254,                0.49434,                 1.0201,                0.97568,                0.96644,                0.98239,                0.79277,                0.61679,                0.35499,                0.86059,              0.0005644,              0.0005644,              0.0005644
                     46,                0.90957,                0.48778,                  1.012,                0.95524,                0.93586,                  0.977,                0.80522,                0.60446,                0.35056,                0.85355,              0.0005545,              0.0005545,              0.0005545
                     47,                0.89303,                0.48084,                 1.0029,                0.95879,                0.95859,                 0.9684,                0.80603,                0.60544,                0.35942,                0.85631,              0.0005446,              0.0005446,              0.0005446
                     48,                0.86262,                0.46759,                 1.0119,                0.94752,                0.97069,                0.97464,                0.79969,                0.60683,                0.35911,                 0.8562,              0.0005347,              0.0005347,              0.0005347
                     49,                0.87117,                0.47129,                  1.008,                0.98461,                0.94336,                 0.9771,                0.81424,                0.60227,                0.34956,                 0.8554,              0.0005248,              0.0005248,              0.0005248
                     50,                0.89727,                0.48452,                 1.0175,                0.94118,                0.94873,                0.96379,                0.79787,                0.63327,                0.36215,                 0.8644,              0.0005149,              0.0005149,              0.0005149
                     51,                  0.863,                0.46503,                 1.0014,                0.93906,                0.96497,                0.96575,                0.79951,                0.62127,                0.34887,                 0.8581,               0.000505,               0.000505,               0.000505
                     52,                0.85992,                0.46155,                 1.0012,                0.94964,                0.97379,                0.98547,                0.81167,                0.59016,                0.33825,                0.85061,              0.0004951,              0.0004951,              0.0004951
                     53,                0.86262,                0.46448,                0.99523,                0.98174,                0.97031,                  0.991,                0.80153,                0.59778,                0.34233,                0.85902,              0.0004852,              0.0004852,              0.0004852
                     54,                0.84123,                0.45419,                0.98499,                0.98438,                0.94201,                0.98186,                0.81545,                0.59885,                0.34421,                0.86081,              0.0004753,              0.0004753,              0.0004753
                     55,                0.82906,                0.45091,                 0.9845,                0.97971,                0.97285,                0.98935,                0.82759,                0.59924,                0.34282,                0.85476,              0.0004654,              0.0004654,              0.0004654
                     56,                0.83382,                0.45413,                0.98515,                 0.9877,                0.98987,                0.99328,                0.82546,                0.58976,                0.32978,                0.84968,              0.0004555,              0.0004555,              0.0004555
                     57,                0.83958,                0.45497,                0.98819,                0.98198,                 0.9457,                 0.9827,                 0.8163,                0.60699,                0.33955,                0.85973,              0.0004456,              0.0004456,              0.0004456
                     58,                0.82498,                0.44346,                0.98829,                0.95568,                0.96134,                0.98221,                 0.8288,                 0.6082,                 0.3396,                0.86061,              0.0004357,              0.0004357,              0.0004357
                     59,                 0.8136,                0.44161,                0.97608,                0.93613,                0.97487,                0.97799,                0.78955,                0.59127,                0.34264,                0.85525,              0.0004258,              0.0004258,              0.0004258
                     60,                0.80783,                0.44467,                0.98729,                0.97962,                 0.9475,                0.97979,                0.81917,                0.58639,                0.33933,                0.85159,              0.0004159,              0.0004159,              0.0004159
                     61,                0.79196,                 0.4384,                0.97606,                0.98212,                0.97436,                0.98722,                0.81383,                0.59647,                0.34035,                0.85275,               0.000406,               0.000406,               0.000406
                     62,                0.79931,                 0.4389,                0.98462,                0.97891,                0.97213,                0.99146,                0.83042,                0.57946,                0.33247,                0.84696,              0.0003961,              0.0003961,              0.0003961
                     63,                0.78232,                0.43049,                  0.967,                0.96383,                0.98553,                0.98952,                0.83466,                0.57846,                 0.3283,                0.84629,              0.0003862,              0.0003862,              0.0003862
                     64,                0.80391,                0.43419,                0.97556,                0.96062,                0.97538,                0.98775,                 0.8246,                0.59124,                0.32543,                0.85058,              0.0003763,              0.0003763,              0.0003763
                     65,                0.78888,                0.42737,                0.97565,                0.94188,                0.98978,                0.98766,                0.82167,                0.59694,                0.32875,                0.85259,              0.0003664,              0.0003664,              0.0003664
                     66,                0.78711,                0.42549,                0.96604,                0.94605,                0.99159,                0.98744,                0.82179,                0.55414,                0.31579,                0.84269,              0.0003565,              0.0003565,              0.0003565
                     67,                0.76667,                0.42484,                0.95918,                 0.9846,                0.97221,                 0.9918,                0.83307,                0.54996,                0.31317,                0.83746,              0.0003466,              0.0003466,              0.0003466
                     68,                0.80189,                0.43015,                0.97416,                0.97729,                0.97299,                0.98726,                0.83775,                0.54743,                 0.3144,                0.83746,              0.0003367,              0.0003367,              0.0003367
                     69,                0.78307,                0.42165,                0.97167,                0.97611,                0.97869,                0.99306,                0.81771,                 0.5611,                 0.3142,                0.84126,              0.0003268,              0.0003268,              0.0003268
                     70,                0.77002,                0.41644,                0.96881,                0.98233,                0.97474,                 0.9907,                 0.8246,                0.55396,                0.30782,                0.83873,              0.0003169,              0.0003169,              0.0003169
                     71,                0.77419,                0.41415,                0.97639,                0.98239,                 0.9742,                0.98858,                0.83776,                 0.5441,                0.30487,                0.84019,               0.000307,               0.000307,               0.000307
                     72,                0.75974,                0.41463,                0.95685,                0.95693,                0.97379,                0.98502,                0.84546,                0.56076,                0.30739,                0.84152,              0.0002971,              0.0002971,              0.0002971
                     73,                0.75527,                 0.4137,                 0.9606,                0.98689,                0.97004,                 0.9914,                0.83655,                 0.5539,                 0.3136,                0.84227,              0.0002872,              0.0002872,              0.0002872
                     74,                0.76052,                0.41267,                0.97159,                0.98258,                0.97617,                0.98959,                0.83601,                0.55838,                0.30957,                0.84568,              0.0002773,              0.0002773,              0.0002773
                     75,                0.76665,                0.41852,                0.96264,                0.96019,                0.94628,                0.98429,                0.82168,                0.56033,                0.31671,                 0.8471,              0.0002674,              0.0002674,              0.0002674
                     76,                0.75684,                0.41381,                0.95937,                0.95973,                0.98867,                0.98941,                0.82365,                0.55379,                0.30632,                0.84307,              0.0002575,              0.0002575,              0.0002575
                     77,                0.74465,                0.40984,                0.96057,                0.97922,                0.97503,                0.98995,                0.83791,                0.55033,                0.30156,                0.84341,              0.0002476,              0.0002476,              0.0002476
                     78,                0.74378,                0.40287,                0.95152,                0.97588,                0.97393,                0.98815,                 0.8154,                0.55005,                0.30014,                0.84032,              0.0002377,              0.0002377,              0.0002377
                     79,                0.72315,                0.40063,                0.95283,                0.98396,                 0.9687,                0.99156,                 0.8382,                0.55123,                0.29953,                0.84209,              0.0002278,              0.0002278,              0.0002278
                     80,                0.70672,                0.38962,                0.94044,                   0.98,                0.94978,                0.98236,                0.82474,                0.55446,                0.29926,                0.84321,              0.0002179,              0.0002179,              0.0002179
                     81,                0.71719,                0.39227,                0.93998,                0.97221,                0.94551,                0.98296,                0.81223,                0.55646,                0.30247,                0.84291,               0.000208,               0.000208,               0.000208
                     82,                0.70366,                0.38903,                0.93999,                0.97622,                0.96743,                0.98898,                 0.8245,                0.55681,                0.30108,                0.84223,              0.0001981,              0.0001981,              0.0001981
                     83,                0.71469,                0.38867,                0.94508,                0.97793,                0.97036,                0.98246,                0.82307,                0.54778,                 0.2941,                0.84007,              0.0001882,              0.0001882,              0.0001882
                     84,                 0.7319,                0.39838,                0.94532,                0.96538,                0.97312,                0.98429,                0.82083,                 0.5564,                0.30262,                 0.8442,              0.0001783,              0.0001783,              0.0001783
                     85,                0.70053,                0.38514,                0.94026,                0.98192,                 0.9442,                 0.9835,                0.83252,                0.54189,                0.29616,                0.84007,              0.0001684,              0.0001684,              0.0001684
                     86,                0.70735,                0.38944,                0.93666,                0.97932,                0.94245,                0.98506,                0.83994,                0.53692,                0.28894,                0.84108,              0.0001585,              0.0001585,              0.0001585
                     87,                0.70852,                 0.3889,                0.93865,                0.98831,                0.98832,                0.99311,                 0.8378,                0.55112,                0.29577,                0.84276,              0.0001486,              0.0001486,              0.0001486
                     88,                0.68912,                0.38218,                0.94142,                0.99007,                0.98764,                0.99373,                0.83351,                0.54055,                0.29236,                0.83986,              0.0001387,              0.0001387,              0.0001387
                     89,                 0.6807,                0.37724,                 0.9311,                 0.9806,                0.97529,                0.99162,                0.84525,                0.53938,                0.29452,                0.83867,              0.0001288,              0.0001288,              0.0001288
                     90,                0.68913,                0.38123,                0.93671,                0.98871,                0.98435,                0.99335,                0.85387,                0.53155,                0.28797,                0.83756,              0.0001189,              0.0001189,              0.0001189
                     91,                0.70537,                0.37454,                0.94905,                0.98998,                0.98542,                0.99298,                0.83712,                0.54093,                0.28942,                0.83748,               0.000109,               0.000109,               0.000109
                     92,                0.67592,                0.35432,                0.92413,                0.98695,                0.98611,                0.99326,                0.83663,                0.53617,                0.28597,                0.83547,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.67281,                 0.3515,                 0.9317,                0.98219,                0.94981,                0.98405,                0.84364,                0.53329,                0.28682,                0.83553,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.65337,                0.34525,                0.92202,                0.98127,                0.94839,                 0.9865,                0.83216,                 0.5328,                0.28459,                 0.8355,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.65781,                0.34687,                0.92817,                0.98216,                0.94887,                0.98669,                0.84272,                0.52419,                 0.2826,                0.83447,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.63592,                0.34318,                 0.9058,                0.98556,                0.94863,                 0.9866,                0.84474,                0.53163,                0.28618,                 0.8356,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.64082,                0.33956,                0.91601,                0.98486,                0.94865,                0.98407,                0.84396,                0.52841,                 0.2815,                0.83639,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.63044,                0.33588,                0.90949,                  0.984,                0.94986,                0.98414,                0.84136,                0.53119,                0.28359,                0.83686,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.63161,                0.33745,                0.92159,                0.98636,                0.94897,                0.98621,                0.84657,                0.52512,                 0.2821,                0.83555,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.63231,                0.33498,                0.91364,                0.98438,                0.94953,                0.98394,                0.84321,                0.52481,                 0.2813,                0.83608,               1.99e-05,               1.99e-05,               1.99e-05
